Aging cycle,SOH(%),SOC(%),R_int(%),Frequency(Hz),Zmod(Ohm),Zphz(deg),Zreal(Ohm),Zimg(Ohm),OCV(V)
0,100.0,100,0.0,9946.650390625,0.01470439974218607,30.144519805908203,0.012715798802673817,0.007384296972304583,4.185768127441406
0,100.0,100,0.0,7888.72021484375,0.013828899711370468,24.649229049682617,0.012568783946335316,0.005767506547272205,4.185768127441406
0,100.0,100,0.0,6288.10986328125,0.013264499604701996,19.61996078491211,0.01249436940997839,0.004453950095921755,4.185768127441406
0,100.0,100,0.0,5039.06298828125,0.012914500199258327,15.135160446166992,0.01246652938425541,0.0033719365019351244,4.185768127441406
0,100.0,100,0.0,4001.52392578125,0.012716899625957012,11.005840301513672,0.012483007274568081,0.002427771221846342,4.185768127441406
0,100.0,100,0.0,3164.06298828125,0.012649199925363064,7.341844081878662,0.012545494362711906,0.0016164282569661736,4.185768127441406
0,100.0,100,0.0,2507.26708984375,0.012691900134086609,4.30011510848999,0.012656171806156635,0.0009516479331068695,4.185768127441406
0,100.0,100,0.0,1979.1669921875,0.012814000248908997,1.734887957572937,0.012808126397430897,0.0003879423311445862,4.185768127441406
0,100.0,100,0.0,1598.010986328125,0.01297689974308014,-0.18001049757003784,0.01297683548182249,-4.0770442865323275e-05,4.185768127441406
0,100.0,100,0.0,1257.6219482421875,0.013206399977207184,-1.9212429523468018,0.013198976404964924,-0.00044275421532802284,4.185768127441406
0,100.0,100,0.0,1004.4639892578125,0.0134547995403409,-3.1965320110321045,0.013433866202831268,-0.0007502540247514844,4.185768127441406
0,100.0,100,0.0,800.3048706054688,0.013732099905610085,-4.2088189125061035,0.013695066794753075,-0.0010078222258016467,4.185768127441406
0,100.0,100,0.0,631.0095825195312,0.014042600058019161,-4.95233678817749,0.01399017684161663,-0.0012122555635869503,4.185768127441406
0,100.0,100,0.0,498.6701965332031,0.014357900246977806,-5.51145076751709,0.014291523955762386,-0.0013790000230073929,4.185768127441406
0,100.0,100,0.0,397.24578857421875,0.014673599973320961,-5.810352802276611,0.014598213136196136,-0.0014854974579066038,4.185768127441406
0,100.0,100,0.0,319.602294921875,0.01497230026870966,-5.9435248374938965,0.01489181537181139,-0.0015503537142649293,4.185768127441406
0,100.0,100,0.0,251.11610412597656,0.015269099734723568,-5.982995986938477,0.015185927040874958,-0.001591548789292574,4.185768127441406
0,100.0,100,0.0,200.8928985595703,0.015577600337564945,-5.848606109619141,0.0154965128749609,-0.001587361446581781,4.185768127441406
0,100.0,100,0.0,158.00559997558594,0.01586969941854477,-5.6405839920043945,0.015792859718203545,-0.001559798140078783,4.185768127441406
0,100.0,100,0.0,125.55799865722656,0.01613599993288517,-5.38285493850708,0.0160648413002491,-0.0015137245645746589,4.185768127441406
0,100.0,100,0.0,99.73400115966797,0.01637209951877594,-5.1082611083984375,0.016307072713971138,-0.0014577375259250402,4.185768127441406
0,100.0,100,0.0,79.44915008544922,0.016596699133515358,-4.792116165161133,0.01653868332505226,-0.0013865003129467368,4.185768127441406
0,100.0,100,0.0,63.34458923339844,0.016790200024843216,-4.484485149383545,0.01673879846930504,-0.0013128113932907581,4.185768127441406
0,100.0,100,0.0,49.86701965332031,0.0169926006346941,-4.149901866912842,0.016948048025369644,-0.0012296888744458556,4.185768127441406
0,100.0,100,0.0,39.724578857421875,0.01715880073606968,-3.8464488983154297,0.017120148986577988,-0.0011510601034387946,4.185768127441406
0,100.0,100,0.0,31.88775062561035,0.01730710081756115,-3.571324110031128,0.017273491248488426,-0.001078076777048409,4.185768127441406
0,100.0,100,0.0,24.933509826660156,0.01745470054447651,-3.266542911529541,0.017426341772079468,-0.0009945872006937861,4.185768127441406
0,100.0,100,0.0,19.946809768676758,0.017574699595570564,-3.0193960666656494,0.017550300806760788,-0.0009257299825549126,4.185768127441406
0,100.0,100,0.0,15.943880081176758,0.01769929938018322,-2.792449951171875,0.017678283154964447,-0.0008622771711088717,4.185768127441406
0,100.0,100,0.0,12.400790214538574,0.01780020073056221,-2.6119730472564697,0.017781708389520645,-0.0008111861534416676,4.185768127441406
0,100.0,100,0.0,9.910149574279785,0.0178787000477314,-2.422208070755005,0.017862726002931595,-0.0007556059863418341,4.185768127441406
0,100.0,100,0.0,7.9719390869140625,0.017962099984288216,-2.3085310459136963,0.017947522923350334,-0.0007235235534608364,4.185768127441406
0,100.0,100,0.0,6.351625919342041,0.018057599663734436,-2.187772035598755,0.01804443635046482,-0.0006893406971357763,4.185768127441406
0,100.0,100,0.0,4.9708380699157715,0.018103299662470818,-2.1681559085845947,0.01809033937752247,-0.0006848917691968381,4.185768127441406
0,100.0,100,0.0,3.9423890113830566,0.01818149909377098,-2.101839065551758,0.01816926710307598,-0.0006668207352049649,4.185768127441406
0,100.0,100,0.0,3.1672298908233643,0.018264800310134888,-2.1665689945220947,0.01825174316763878,-0.0006904962356202304,4.185768127441406
0,100.0,100,0.0,2.4854190349578857,0.018338000401854515,-2.2139599323272705,0.018324311822652817,-0.0007084203534759581,4.185768127441406
0,100.0,100,0.0,1.9711940288543701,0.01840599998831749,-2.3693981170654297,0.018390264362096786,-0.0007609410677105188,4.185768127441406
0,100.0,100,0.0,1.5836149454116821,0.018497399985790253,-2.4841489791870117,0.01848001778125763,-0.0008017327636480331,4.185768127441406
0,100.0,100,0.0,1.2600810527801514,0.01858540065586567,-2.710102081298828,0.018564613536000252,-0.0008787654805928469,4.185768127441406
0,100.0,100,0.0,1.0016030073165894,0.018674900755286217,-3.0349159240722656,0.01864870823919773,-0.0009887334890663624,4.185768127441406
0,100.0,100,0.0,0.7971938848495483,0.018804900348186493,-3.295897960662842,0.018773796036839485,-0.0010811416432261467,4.185768127441406
0,100.0,100,0.0,0.6334459185600281,0.018907200545072556,-3.7189629077911377,0.018867386505007744,-0.0012263697572052479,4.185768127441406
0,100.0,100,0.0,0.5029507279396057,0.019076300784945488,-4.1256279945373535,0.019026868045330048,-0.0013724174350500107,4.185768127441406
0,100.0,100,0.0,0.3985969126224518,0.019239600747823715,-4.701062202453613,0.01917487569153309,-0.0015768196899443865,4.185768127441406
0,100.0,100,0.0,0.3167229890823364,0.01942639984190464,-5.2618842124938965,0.01934453472495079,-0.0017815594328567386,4.185768127441406
0,100.0,100,0.0,0.2514753043651581,0.019649600610136986,-5.898674011230469,0.01954556070268154,-0.002019379986450076,4.185768127441406
0,100.0,100,0.0,0.1996379941701889,0.0199171993881464,-6.605010032653809,0.01978500373661518,-0.00229095621034503,4.185768127441406
